material_normalized,experiment,simulation,IP,EA
BFDPB@CN6-CP,1.0,0.5875749199764378,5.937794459644317,5.6739690366665325
BPAPF@CN6-CP,1.0,0.5630794578403325,5.938922969689016,5.639514053670579
CBP@CN6-CP,0.01,0.2263946352371609,6.539100318846572,5.5874741940062
MeO-TPD@F4TCNQ,0.74,0.3993171051972793,5.685146975827362,4.889137624878461
NPB@CN6-CP,1.0,0.5515389501137602,5.943274906652799,5.542257212159076
NPB@TCNQ,,4.186073302804922e-17,5.9447526489810745,4.29938998048024
TCTA@CN6-CP,0.5,0.4596451729361167,6.188172631685162,5.566037513634928
TCTA@F6TCNNQ,,7.478081938619777e-05,6.200094105170336,4.94543423203989
TPD@F4TCNQ,0.64,0.0045710674358933,5.936443589545323,4.726909645063772
m-MTDATA@F4TCNQ,1.0,0.2008018271868953,5.541106943399816,4.747509458481362
