material,fraction,ionization
BPAPF@CN6-CP_0.26,CP_0.26,0.5630794578403325
TPD@F4TCNQ_0.07,F4TCNQ_0.07,0.004571067435893302
NPB@TCNQ_0.07,TCNQ_0.07,4.186073302804922e-17
MeO-TPD@F4TCNQ_0.07,F4TCNQ_0.07,0.39931710519727937
BFDPB@CN6-CP_0.26,CP_0.26,0.5875749199764378
TCTA@CN6-CP_0.26,CP_0.26,0.45964517293611673
NPB@CN6-CP_0.26,CP_0.26,0.5515389501137602
TCTA@F6TCNNQ_0.11,F6TCNNQ_0.11,7.478081938619777e-05
CBP@CN6-CP_0.2,CP_0.2,0.22639463523716097
m-MTDATA@F4TCNQ_0.07,F4TCNQ_0.07,0.2008018271868953
