material,host,dopant,IP,EA,sigma
BPAPF@CN6-CP_0.26,BPAPF,CN6-CP,5.939,5.476,0.071
TPD@F4TCNQ_0.07,TPD,F4TCNQ,5.936,4.563,0.11
NPB@TCNQ_0.07,NPB,TCNQ,5.945,4.135,0.115
MeO-TPD@F4TCNQ_0.07,MeO-TPD,F4TCNQ,5.685,4.725,0.154
BFDPB@CN6-CP_0.26,BFDPB,CN6-CP,5.938,5.51,0.113
TCTA@CN6-CP_0.26,TCTA,CN6-CP,6.188,5.402,0.121
NPB@CN6-CP_0.26,NPB,CN6-CP,5.943,5.378,0.114
TCTA@F6TCNNQ_0.11,TCTA,F6TCNNQ,6.2,4.781,0.109
CBP@CN6-CP_0.2,CBP,CN6-CP,6.539,5.423,0.12
m-MTDATA@F4TCNQ_0.07,m-MTDATA,F4TCNQ,5.541,4.584,0.128

