Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_17539_C_-1,Mol_11016_C_1,11.330932146212392,10.0,3.0,5.531414249999216,4.972643650020473,-0.7537639500078512,-1.3125345499865944,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.4444537284973855,0.4444537284973855,atomic_atomic,0,0.4444537284973855,0.4444537284973855,0,0.20081481964455852,0.20081481964455852,5.0869605215018305,5.417097378517858,-0.9545787696524097,-0.6244419126363823,-0.6880926373502125
Mol_11542_C_-1,Mol_11523_C_1,3.9260663073825617,10.0,3.0,5.678287349990569,4.72550620000402,-0.7698752000142122,-1.7226563500007614,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.4516717644449585,0.4516717644449585,atomic_atomic,0,0.4516717644449585,0.4516717644449585,0,0.03331943654173564,0.03331943654173564,5.226615585545611,5.177177964448978,-0.8031946365559478,-0.8526322576525808,-0.8700240923481813
Mol_11605_C_-1,Mol_11549_C_1,8.335389940767653,10.0,3.0,5.456806399990455,5.089217600019765,-0.9515021500119474,-1.3190909499826375,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.44273387716621504,0.44273387716621504,atomic_atomic,0,0.44273387716621504,0.44273387716621504,0,0.12468114397511887,0.12468114397511887,5.01407252282424,5.53195147718598,-1.0761832939870661,-0.5583043396253267,-0.7607866103573112
Mol_11575_C_-1,Mol_11552_C_1,6.208840762453141,10.0,3.0,5.572234049992403,4.913660850012093,-0.7911416000133613,-1.4497147999936715,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.44468452095753636,0.44468452095753636,atomic_atomic,0,0.44468452095753636,0.44468452095753636,0,0.07548910807476415,0.07548910807476415,5.127549529034867,5.358345370969629,-0.8666307080881255,-0.635834866153363,-0.8138799338403085
Mol_1305_C_-1,Mol_1290_C_1,7.8286670165134655,10.0,3.0,5.744393600005424,4.806772850002744,-0.6594712499936577,-1.597091999996337,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.44295829322939273,0.44295829322939273,atomic_atomic,0,0.44295829322939273,0.44295829322939273,0,0.10992461674862564,0.10992461674862564,5.301435306776031,5.249731143232137,-0.7693958667422833,-0.8211000302861773,-0.7759919697101598
Mol_1278_C_-1,Mol_1350_C_1,13.472566109585074,10.0,3.0,5.494033300012234,4.799487600001157,-0.25254334999772254,-0.947089050008799,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.4480433862915257,0.4480433862915257,atomic_atomic,0,0.4480433862915257,0.4480433862915257,0,0.2609884821118796,0.2609884821118796,5.045989913720708,5.247530986292683,-0.5135318321096021,-0.31199075953762634,-0.6350982904711717
Mol_8074_C_-1,Mol_1373_C_1,23.563852589475637,10.0,3.0,5.58646384999156,4.861773049997282,0.13828944999841042,-0.5864013499958673,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.47344280030570374,0.47344280030570374,atomic_atomic,0,0.47344280030570374,0.47344280030570374,0,0.539789714724591,0.539789714724591,5.113021049685856,5.335215850302986,-0.4015002647261806,-0.17930546410905068,-0.40709588588681644
Mol_1454_C_-1,Mol_1387_C_1,4.619010082500809,10.0,3.0,5.716465150006115,5.000857699997141,-0.9463044500007527,-1.661911900009727,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.4486777847290754,0.4486777847290754,atomic_atomic,0,0.4486777847290754,0.4486777847290754,0,0.04650897323892854,0.04650897323892854,5.26778736527704,5.4495354847262165,-0.9928134232396812,-0.8110653037905047,-0.8508465962192222
Mol_1445_C_-1,Mol_1392_C_1,6.874480749045084,10.0,3.0,5.579880650009727,4.929924399984884,-0.8544692999857944,-1.5044255500106374,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.44357374498550467,0.44357374498550467,atomic_atomic,0,0.44357374498550467,0.44357374498550467,0,0.09255582312586944,0.09255582312586944,5.136306905024222,5.373498144970389,-0.9470251231116638,-0.7098338831654967,-0.7945916668451399
Mol_11045_C_-1,Mol_14547_C_1,16.152159675447265,10.0,3.0,5.568608550005592,4.661419949989067,0.02629049999814015,-0.8808981000183849,695799182ba3f3c9bd28a9aeb6a76a96,7bcea01794773fc317d8fb5a8ea7c275,0,0.45397095451292957,0.45397095451292957,atomic_atomic,0,0.45397095451292957,0.45397095451292957,0,0.33346457802642476,0.33346457802642476,5.114637595492663,5.1153909045019965,-0.3071740780282846,-0.3064207690189514,-0.5744773309994344
