Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_1201_C_-1,Mol_1026_C_1,11.832488958177436,10.0,3.0,5.7729764499817975,5.007672000021557,-0.3874199999991106,-1.1527244499593507,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.44517034472189426,0.44517034472189426,atomic_atomic,0,0.44517034472189426,0.44517034472189426,0,0.21563241755060428,0.21563241755060428,5.327806105259903,5.452842344743452,-0.6030524175497148,-0.4780161780661657,-0.6747082718931843
Mol_11617_C_-1,Mol_11687_C_1,8.458028431501768,10.0,3.0,5.630380449991208,4.743811100008315,-0.4949295000260463,-1.3814988500089385,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.44272287205499894,0.44272287205499894,atomic_atomic,0,0.44272287205499894,0.44272287205499894,0,0.1268197300660929,0.1268197300660929,5.187657577936209,5.186533972063314,-0.6217492300921392,-0.622872835965034,-0.758626014043905
Mol_12294_C_-1,Mol_12264_C_1,8.004995139972086,10.0,3.0,5.753905599995051,4.855280100004165,-0.49365129999932833,-1.3922767999902135,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.44280005089439173,0.44280005089439173,atomic_atomic,0,0.44280005089439173,0.44280005089439173,0,0.11917963896293284,0.11917963896293284,5.311105549100659,5.298080150898557,-0.6128309389622612,-0.6258563371643625,-0.7664204628258506
Mol_1239_C_-1,Mol_1242_C_1,5.619930982265446,10.0,3.0,5.534154199980549,4.858913300005952,-0.8196134500030894,-1.494854349977686,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.44565202278613947,0.44565202278613947,atomic_atomic,0,0.44565202278613947,0.44565202278613947,0,0.06540094428081702,0.06540094428081702,5.0885021771944094,5.304565322792091,-0.8850143942839064,-0.6689512486862248,-0.8259031012914619
Mol_1458_C_-1,Mol_1279_C_1,14.67233913883682,10.0,3.0,5.776702049988671,4.856128349987557,0.021350199996959418,-0.8992235000041546,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.4505755964892675,0.4505755964892675,atomic_atomic,0,0.4505755964892675,0.4505755964892675,0,0.29499160801988195,0.29499160801988195,5.326126453499404,5.306703946476825,-0.2736414080229225,-0.2930639150455016,-0.606159584958653
Mol_1309_C_-1,Mol_1288_C_1,15.977026007269753,10.0,3.0,5.608211200000369,5.0186465500009945,-0.2591182000032859,-0.8486828500026604,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.45381766826759706,0.45381766826759706,atomic_atomic,0,0.45381766826759706,0.45381766826759706,0,0.3321114738247581,0.3321114738247581,5.154393531732772,5.472464218268591,-0.591229673828044,-0.2731589872922251,-0.575523862710436
Mol_1459_C_-1,Mol_1298_C_1,21.065344533628576,10.0,3.0,5.739324400012265,4.740901099983603,0.3419291500176769,-0.6564941500109853,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.468895465959678,0.468895465959678,atomic_atomic,0,0.468895465959678,0.468895465959678,0,0.48130608152804544,0.48130608152804544,5.270428934052587,5.2097965659432806,-0.13937693151036856,-0.20000929961967517,-0.4564848503913106
Mol_1378_C_-1,Mol_1362_C_1,5.240584310383048,10.0,3.0,5.759415499996976,5.005243049992714,-0.8244891999929678,-1.5786616499972297,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.4466592926894226,0.4466592926894226,atomic_atomic,0,0.4466592926894226,0.4466592926894226,0,0.05921951720755936,0.05921951720755936,5.312756207307554,5.4519023426821365,-0.8837087172005271,-0.7445625818259443,-0.8340990681712859
Mol_4795_C_-1,Mol_1364_C_1,11.158942750646233,10.0,3.0,5.6871744000090985,4.768186400004197,-0.12719664997712243,-1.046184649982024,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.444372920535032,0.444372920535032,atomic_atomic,0,0.444372920535032,0.444372920535032,0,0.19776356070997975,0.19776356070997975,5.242801479474067,5.212559320539229,-0.3249602106871022,-0.35520236962194024,-0.6909822803600842
Mol_1459_C_-1,Mol_1436_C_1,17.98010569426963,10.0,3.0,5.726244250021409,4.776299949982786,0.21039945000666194,-0.7395448500319617,8f9f22e615cea1141c61fed1edc78168,7bcea01794773fc317d8fb5a8ea7c275,0,0.45960556612076614,0.45960556612076614,atomic_atomic,0,0.45960556612076614,0.45960556612076614,0,0.39225704145540713,0.39225704145540713,5.266638683900643,5.235905516103552,-0.1818575914487452,-0.21259075924583665,-0.5269540907861252
