Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_4670_C_-1,Mol_11142_C_1,22.643807616648168,10.0,3.0,5.1626668499957304,4.043500949992449,0.5030226499948185,-0.6161432500084629,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4720902197745517,0.4720902197745517,atomic_atomic,0,0.4720902197745517,0.4720902197745517,0,0.519952505391058,0.519952505391058,4.690576630221178,4.515591169767001,-0.01692985539623948,-0.19191531585041688,-0.4242279341580454
Mol_11360_C_-1,Mol_11354_C_1,5.882900005057755,10.0,3.0,5.431609349994687,3.995169050002005,-0.1320945500046946,-1.568534849997377,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4452331199556616,0.4452331199556616,atomic_atomic,0,0.4452331199556616,0.4452331199556616,0,0.07241102517884286,0.07241102517884286,4.986376230039026,4.440402169957666,-0.20450557518353746,-0.750479635264897,-0.8180552147324803
Mol_11395_C_-1,Mol_11397_C_1,4.695798628745279,10.0,3.0,5.130085049997433,3.72140584999579,-0.23493795000831597,-1.643617150009959,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4481950172614384,0.4481950172614384,atomic_atomic,0,0.4481950172614384,0.4481950172614384,0,0.04928935859379995,0.04928935859379995,4.6818900327359945,4.169600867257229,-0.2842273086021159,-0.7965164740808817,-0.8471006759290769
Mol_11465_C_-1,Mol_11418_C_1,4.049501157781767,10.0,3.0,5.342906150006456,3.8933062499854714,-0.24384310000459664,-1.6934430000255816,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4504357378516485,0.4504357378516485,atomic_atomic,0,0.4504357378516485,0.4504357378516485,0,0.03741615200980717,0.03741615200980717,4.8924704121548075,4.34374198783712,-0.2812592520144038,-0.8299876763320911,-0.8634553236934898
Mol_11563_C_-1,Mol_11559_C_1,5.553980636552884,10.0,3.0,5.226859150003293,3.827179400002933,-0.30651760000910144,-1.706197350009461,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.44608109979605787,0.44608109979605787,atomic_atomic,0,0.44608109979605787,0.44608109979605787,0,0.06349129038326308,0.06349129038326308,4.780778050207235,4.273260499798991,-0.3700088903923645,-0.8775264408006079,-0.8286709092088527
Mol_11563_C_-1,Mol_11587_C_1,8.322419253908697,10.0,3.0,5.258564099989599,3.9259949500119546,-0.043362250027712435,-1.3759314000053564,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4427263899731455,0.4427263899731455,atomic_atomic,0,0.4427263899731455,0.4427263899731455,0,0.12608249144999634,0.12608249144999634,4.815837710016453,4.3687213399851,-0.16944474147770877,-0.6165611115090612,-0.7593702884962947
Mol_1405_C_-1,Mol_1322_C_1,8.113505223570455,10.0,3.0,5.267068600005587,4.069502750004176,-0.30495520000113174,-1.5025210500025423,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4427781733042382,0.4427781733042382,atomic_atomic,0,0.4427781733042382,0.4427781733042382,0,0.12045352910581499,0.12045352910581499,4.8242904267013484,4.512280923308414,-0.4254087291069467,-0.7374182324998809,-0.7651028175026614
Mol_1535_C_-1,Mol_1471_C_1,9.469636894907433,10.0,3.0,5.323102750000544,3.9672694000037154,-0.14404240000294521,-1.4998757499997737,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4428448289329717,0.4428448289329717,atomic_atomic,0,0.4428448289329717,0.4428448289329717,0,0.15150434929157763,0.15150434929157763,4.880257921067572,4.4101142289366875,-0.29554674929452285,-0.7656904414254072,-0.7341853085743658
Mol_1811_C_-1,Mol_1502_C_1,17.923381499292628,10.0,3.0,5.233558000007179,4.027672749987687,0.4076356500008842,-0.7982496000186075,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4590860125056848,0.4590860125056848,atomic_atomic,0,0.4590860125056848,0.4590860125056848,0,0.3869642464317347,0.3869642464317347,4.774471987501494,4.486758762493372,0.020671403569149482,-0.267041821438973,-0.531207778579635
Mol_1486_C_-1,Mol_1503_C_1,5.592130199194395,10.0,3.0,5.211533650013735,4.032609799993224,-0.3915993999980856,-1.5705232500185957,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.44585515871533443,0.44585515871533443,atomic_atomic,0,0.44585515871533443,0.44585515871533443,0,0.06571992756843303,0.06571992756843303,4.7656784912984005,4.4784649587085585,-0.4573193275665186,-0.7445328601563606,-0.8259903898622358
