Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_1443_C_-1,Mol_1039_C_1,18.075963781763328,10.0,3.0,5.869041900004959,5.004403300001286,0.07805485000426415,-0.7865837499994086,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.45971610206593333,0.45971610206593333,atomic_atomic,0,0.45971610206593333,0.45971610206593333,0,0.39336052303443203,0.39336052303443203,5.409325797939025,5.46411940206722,-0.3153056730301679,-0.2605120689019732,-0.5260716810974346
Mol_11291_C_-1,Mol_11272_C_1,6.686124445847893,10.0,3.0,6.020092700011446,4.6522074499953305,-0.10123955000017304,-1.4691248000162886,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4438301797095084,0.4438301797095084,atomic_atomic,0,0.4438301797095084,0.4438301797095084,0,0.08804378650742918,0.08804378650742918,5.576262520301937,5.096037629704839,-0.1892833365076022,-0.6695082271047003,-0.7996165729115876
Mol_11193_C_-1,Mol_11288_C_1,13.058128082389022,10.0,3.0,5.704105949989753,5.061761849996401,-0.41621835000114515,-1.058562449994497,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.44720905210106654,0.44720905210106654,atomic_atomic,0,0.44720905210106654,0.44720905210106654,0,0.2483280953544117,0.2483280953544117,5.256896897888686,5.5089709020974675,-0.6645464453555568,-0.4124724411467756,-0.6460900088477214
Mol_11514_C_-1,Mol_11462_C_1,4.810116607267462,10.0,3.0,5.843582499990589,4.817796200004523,-0.6707080000051064,-1.6964942999911727,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4477852988852401,0.4477852988852401,atomic_atomic,0,0.4477852988852401,0.4477852988852401,0,0.05160077776237058,0.05160077776237058,5.395797201105349,5.2655814988897625,-0.722308777767477,-0.8525244799830638,-0.8439698200081096
Mol_11849_C_-1,Mol_11605_C_1,3.940086599281538,10.0,3.0,6.065488899999764,4.782421449999674,-0.675010699997074,-1.9580781499971636,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4506055487608902,0.4506055487608902,atomic_atomic,0,0.4506055487608902,0.4506055487608902,0,0.03665328829673622,0.03665328829673622,5.614883351238873,5.233026998760565,-0.7116639882938102,-1.0935203407721188,-0.8645578092250442
Mol_11940_C_-1,Mol_11639_C_1,23.560513095052215,10.0,3.0,5.803641000005882,4.750260650005657,0.43681119999382645,-0.6165691500063986,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.47344886534585495,0.47344886534585495,atomic_atomic,0,0.47344886534585495,0.47344886534585495,0,0.5398858769030598,0.5398858769030598,5.330192134660027,5.223709515351512,-0.10307467690923333,-0.20955729621774866,-0.4070118537886501
Mol_12065_C_-1,Mol_11862_C_1,8.469433117247267,10.0,3.0,5.778677600013907,4.751429449985153,-0.22010719998797867,-1.2473553500167327,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4427137757048139,0.4427137757048139,atomic_atomic,0,0.4427137757048139,0.4427137757048139,0,0.12871994984791618,0.12871994984791618,5.335963824309093,5.194143225689967,-0.34882714983589486,-0.4906477484550216,-0.7567076015617116
Mol_12150_C_-1,Mol_12129_C_1,4.409997527617631,10.0,3.0,5.696468200010713,4.875397700001486,-0.8788768499944126,-1.6999473500036402,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4491957907017833,0.4491957907017833,atomic_atomic,0,0.4491957907017833,0.4491957907017833,0,0.043840291038205005,0.043840291038205005,5.24727240930893,5.324593490703269,-0.9227171410326176,-0.8453960596382779,-0.8545512903653616
Mol_1343_C_-1,Mol_1330_C_1,15.47727644825204,10.0,3.0,5.666253849994973,4.782622500002617,-0.13564105000114068,-1.019272399993497,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4524302359346152,0.4524302359346152,atomic_atomic,0,0.4524302359346152,0.4524302359346152,0,0.3163077337617621,0.3163077337617621,5.213823614060358,5.2350527359372325,-0.45194878376290276,-0.430719661886028,-0.5885527381074682
Mol_14039_C_-1,Mol_14038_C_1,7.896984329116858,10.0,3.0,5.53630870001507,4.903454549988965,-0.8283061999973143,-1.4611603500234196,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4428851869538586,0.4428851869538586,atomic_atomic,0,0.4428851869538586,0.4428851869538586,0,0.11479759924581973,0.11479759924581973,5.093423513061211,5.346339736942824,-0.9431037992431339,-0.6901875753615212,-0.7709727746618975
Mol_14528_C_-1,Mol_14569_C_1,4.155935473345174,10.0,3.0,5.737220449998858,4.782296150006005,-0.8010295999993104,-1.7559538999921642,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.45000410742734087,0.45000410742734087,atomic_atomic,0,0.45000410742734087,0.45000410742734087,0,0.039399745058239774,0.039399745058239774,5.287216342571518,5.232300257433345,-0.8404293450575502,-0.8953454301957227,-0.860608469796442
Mol_14770_C_-1,Mol_14615_C_1,9.604826420282887,10.0,3.0,5.611284900005558,4.843032849996234,-0.4638658499898156,-1.232117899999139,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.44293703292518705,0.44293703292518705,atomic_atomic,0,0.44293703292518705,0.44293703292518705,0,0.15623761568022648,0.15623761568022648,5.168347867080371,5.285969882921421,-0.6201034656700422,-0.502481449828992,-0.7296364501701476
Mol_1689_C_-1,Mol_1467_C_1,10.463089903440785,10.0,3.0,5.755627899998217,4.96307154999522,-0.39360219999798574,-1.1861585500009824,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.44347054511934614,0.44347054511934614,atomic_atomic,0,0.44347054511934614,0.44347054511934614,0,0.17830275088242323,0.17830275088242323,5.31215735487887,5.406542095114567,-0.5719049508804089,-0.4775202106447124,-0.7086383393562691
Mol_1499_C_-1,Mol_1497_C_1,4.249918746124457,10.0,3.0,5.882783200009726,4.734091300008004,-0.5927861499949358,-1.7414780499966582,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4497302514492821,0.4497302514492821,atomic_atomic,0,0.4497302514492821,0.4497302514492821,0,0.04128402124291954,0.04128402124291954,5.4330529485604435,5.183821551457286,-0.6340701712378554,-0.8833015683410128,-0.8581764816556446
Mol_17219_C_-1,Mol_17147_C_1,8.176589026603681,10.0,3.0,5.436094199991203,4.805848700008937,-0.6086890000005951,-1.2389344999828609,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4427650542773368,0.4427650542773368,atomic_atomic,0,0.4427650542773368,0.4427650542773368,0,0.12140311156507338,0.12140311156507338,4.993329145713866,5.248613754286274,-0.7300921115656684,-0.47480750299326036,-0.7641269969896003
Mol_17454_C_-1,Mol_17594_C_1,16.086691216714488,10.0,3.0,5.5819539000076475,4.821152099990286,-0.11793904998921789,-0.8787408500065794,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4539473010872126,0.4539473010872126,atomic_atomic,0,0.4539473010872126,0.4539473010872126,0,0.33398960151609713,0.33398960151609713,5.128006598920435,5.275099401077498,-0.451928651505315,-0.3048358493482518,-0.5739050006583281
Mol_7893_C_-1,Mol_17630_C_1,9.215089942607914,10.0,3.0,5.6254711499932455,4.737806150005781,-0.34076104999985546,-1.2284260499873199,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4427837628839747,0.4427837628839747,atomic_atomic,0,0.4427837628839747,0.4427837628839747,0,0.14697884418810586,0.14697884418810586,5.1826873871092705,5.180589912889756,-0.4877398941879613,-0.48983736840747566,-0.7385886815798435
Mol_17809_C_-1,Mol_17775_C_1,3.7397975819632117,10.0,3.0,5.757035350005026,4.765828699994017,-0.8356649999914225,-1.8268716500024311,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.45170634264272636,0.45170634264272636,atomic_atomic,0,0.45170634264272636,0.45170634264272636,0,0.033190682465870876,0.033190682465870876,5.3053290073623,5.217535042636744,-0.8688556824572934,-0.9566496471828493,-0.8702220028195818
Mol_17969_C_-1,Mol_17848_C_1,4.547818628537111,10.0,3.0,5.91704440000467,4.622042099988903,-0.5661694499867735,-1.8611717500025406,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4487561659160378,0.4487561659160378,atomic_atomic,0,0.4487561659160378,0.4487561659160378,0,0.04608642119619859,0.04608642119619859,5.468288234088632,5.070798265904941,-0.6122558711829721,-1.0097458393666638,-0.851425910635877
Mol_1931_C_-1,Mol_1805_C_1,10.932135643513957,10.0,3.0,5.750842949986691,4.897513750009239,-0.4224990000075195,-1.2758281999849714,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.44405308744883953,0.44405308744883953,atomic_atomic,0,0.44405308744883953,0.44405308744883953,0,0.18986293240283605,0.18986293240283605,5.306789862537851,5.341566837458078,-0.6123619324103555,-0.5775849574901284,-0.698243242494843
Mol_2257_C_-1,Mol_1815_C_1,21.860966673890065,10.0,3.0,5.718717349998769,4.841147200000705,0.24210540000058245,-0.6354647499974817,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.47049318712640065,0.47049318712640065,atomic_atomic,0,0.47049318712640065,0.47049318712640065,0,0.5020573880071257,0.5020573880071257,5.2482241628723685,5.311640387127106,-0.2599519880065433,-0.1965357637518057,-0.43892898624567556
Mol_1666_C_-1,Mol_1838_C_1,13.951658300473774,10.0,3.0,5.655303949999507,5.012948749994393,-0.336565999998129,-0.9789212000032421,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4489412310515991,0.4489412310515991,atomic_atomic,0,0.4489412310515991,0.4489412310515991,0,0.27218717443862445,0.27218717443862445,5.206362718947908,5.461889981045992,-0.6087531744367534,-0.35322591233866896,-0.6256952876645738
Mol_2032_C_-1,Mol_1978_C_1,6.402725976437529,10.0,3.0,5.6547135500004515,4.722003400005633,-0.7515936499985401,-1.6843037999933586,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4442854159644341,0.4442854159644341,atomic_atomic,0,0.4442854159644341,0.4442854159644341,0,0.08213853978746287,0.08213853978746287,5.210428134036017,5.166288815970067,-0.8337321897860029,-0.8778715078519529,-0.8064322921414053
Mol_20558_C_-1,Mol_20482_C_1,10.068910290844904,10.0,3.0,5.553472649989999,4.9258066000038525,-0.48102195000683423,-1.1086879999929806,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.4431645679302306,0.4431645679302306,atomic_atomic,0,0.4431645679302306,0.4431645679302306,0,0.1671506903558952,0.1671506903558952,5.110308082059769,5.368971167934083,-0.6481726403627295,-0.3895095544884153,-0.719178445504566
Mol_20532_C_-1,Mol_20497_C_1,17.424589083552682,10.0,3.0,5.7654520999931265,4.899024950005696,0.025650899988249876,-0.8407762499991804,7049b4f04320513007a41f2c80ce9989,7bcea01794773fc317d8fb5a8ea7c275,0,0.45770996327735614,0.45770996327735614,atomic_atomic,0,0.45770996327735614,0.45770996327735614,0,0.37353566568841534,0.37353566568841534,5.30774213671577,5.356734913283052,-0.34788476570016547,-0.29889198913288373,-0.5418842608662969
