Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_1038_C_-1,Mol_1064_C_1,12.246476763748426,10.0,3.0,6.005722699977923,4.923560500013991,-0.1339927500084741,-1.216154949972406,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.445737812581581,0.445737812581581,atomic_atomic,0,0.445737812581581,0.445737812581581,0,0.22544949219063928,0.22544949219063928,5.559984887396342,5.369298312595572,-0.35944224219911336,-0.5501288169998834,-0.6660261329725228
Mol_1307_C_-1,Mol_1105_C_1,19.940275619791382,10.0,3.0,6.097954299999401,4.8539485999936005,0.5429170500137843,-0.7010886499920161,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.46568209593370896,0.46568209593370896,atomic_atomic,0,0.46568209593370896,0.46568209593370896,0,0.45001374032070746,0.45001374032070746,5.632272204065692,5.31963069592731,0.09290330969307686,-0.21973819844530534,-0.48135045154671047
Mol_11162_C_-1,Mol_11063_C_1,20.55103323158756,10.0,3.0,6.054744449997088,4.944447400004719,0.38681099998939317,-0.7234860500029754,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.46761809595234294,0.46761809595234294,atomic_atomic,0,0.46761809595234294,0.46761809595234294,0,0.46809428058074687,0.46809428058074687,5.587126354044745,5.412065495957062,-0.0812832805913537,-0.2563441386790366,-0.467141911323939
Mol_11338_C_-1,Mol_11197_C_1,19.3794008298455,10.0,3.0,6.065921650006203,5.084351899989997,0.22694964999391232,-0.7546201000222936,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.46381879753910643,0.46381879753910643,atomic_atomic,0,0.46381879753910643,0.46381879753910643,0,0.4327921834538305,0.4327921834538305,5.602102852467096,5.548170697529104,-0.2058425334599182,-0.25977468839791096,-0.49484541162438234
Mol_11338_C_-1,Mol_11365_C_1,8.719830220803392,10.0,3.0,5.938451599999098,5.091772949992446,-0.5944033499981742,-1.4410820000048261,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.44269442131761655,0.44269442131761655,atomic_atomic,0,0.44269442131761655,0.44269442131761655,0,0.1346822917266778,0.1346822917266778,5.495757178681481,5.534467371310063,-0.729085641724852,-0.6903754490962705,-0.7507065509085553
Mol_11718_C_-1,Mol_11711_C_1,11.567658912146506,10.0,3.0,6.045741950001684,5.082012949991622,-0.22356329998001456,-1.1872922999900766,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.44474794959847325,0.44474794959847325,atomic_atomic,0,0.44474794959847325,0.44474794959847325,0,0.20725419611936466,0.20725419611936466,5.600994000403211,5.526760899590095,-0.43081749609937925,-0.5050505969124949,-0.6822417030775818
Mol_11890_C_-1,Mol_12011_C_1,16.068622605465233,10.0,3.0,6.0304614000051515,5.162602349999361,-0.13295370001287665,-1.0008127500186674,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.4539880052518218,0.4539880052518218,atomic_atomic,0,0.4539880052518218,0.4539880052518218,0,0.3336003167803509,0.3336003167803509,5.57647339475333,5.616590355251183,-0.46655401679322756,-0.4264370562953745,-0.5743756937232927
Mol_12127_C_-1,Mol_12112_C_1,7.80302552617947,10.0,3.0,6.09454019999248,5.068541600005119,-0.4625164499884704,-1.488515049975831,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.44288368891578966,0.44288368891578966,atomic_atomic,0,0.44288368891578966,0.44288368891578966,0,0.1131318625628931,0.1131318625628931,5.65165651107669,5.5114252889209085,-0.5756483125513635,-0.7158795347071453,-0.7726355152686862
Mol_1004_C_-1,Mol_1264_C_1,16.55926296352333,10.0,3.0,6.099342199988314,5.1208492500009015,0.18426984999678098,-0.7942230999906315,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.4552126016370608,0.4552126016370608,atomic_atomic,0,0.4552126016370608,0.4552126016370608,0,0.3480450109510685,0.3480450109510685,5.644129598351253,5.576061851637962,-0.1637751609542875,-0.2318429076675788,-0.5623801923230531
Mol_1252_C_-1,Mol_1300_C_1,11.908970559917845,10.0,3.0,6.220038700004807,4.830658499995479,0.3065171500056749,-1.0828630500036525,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.4452038247771374,0.4452038247771374,atomic_atomic,0,0.4452038247771374,0.4452038247771374,0,0.21631904928211937,0.21631904928211937,5.774834875227669,5.275862324772617,0.09019810072355555,-0.40877444973149685,-0.6740886002721553
Mol_1344_C_-1,Mol_1410_C_1,9.36445647417914,10.0,3.0,5.974451700007194,4.91655449999962,-0.3445029499998782,-1.4024001500074519,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.4428256679553335,0.4428256679553335,atomic_atomic,0,0.4428256679553335,0.4428256679553335,0,0.15039773208612234,0.15039773208612234,5.53162603205186,5.359380167954954,-0.4949006820860005,-0.6671465461829067,-0.7352536038245447
Mol_14579_C_-1,Mol_14428_C_1,7.384765542412299,10.0,3.0,6.237025299982633,5.050420500017935,-0.4886007500172127,-1.6752055499819107,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.44302121973100705,0.44302121973100705,atomic_atomic,0,0.44302121973100705,0.44302121973100705,0,0.1035632402932647,0.1035632402932647,5.794004080251627,5.493441719748942,-0.5921639903104774,-0.8927263508131622,-0.7824791991687494
Mol_4740_C_-1,Mol_1448_C_1,11.25875176073107,10.0,3.0,6.101361799999722,5.131774950015824,-0.28554924999480136,-1.2551360999786993,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,0,0.44442136115739667,0.44442136115739667,atomic_atomic,0,0.44442136115739667,0.44442136115739667,0,0.19894907918527918,0.19894907918527918,5.656940438842326,5.576196311173221,-0.4844983291800805,-0.5652424568491853,-0.6898936431295142
