Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_10774_C_-1,Mol_10764_C_1,18.37362003269552,10.0,3.0,6.003438749990892,4.397539199999301,0.7797499999869615,-0.8261495500046294,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.46061543440425085,0.46061543440425085,atomic_atomic,0,0.46061543440425085,0.46061543440425085,0,0.4022369248209453,0.4022369248209453,5.542823315586641,4.858154634403552,0.3775130751660162,-0.3071556060170727,-0.5189939439875564
Mol_1356_C_-1,Mol_1109_C_1,15.184818220736009,10.0,3.0,6.007753449986922,4.473268500005361,0.600721650000196,-0.933763299981365,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4516839591644158,0.4516839591644158,atomic_atomic,0,0.4516839591644158,0.4516839591644158,0,0.30778387606882535,0.30778387606882535,5.556069490822506,4.924952459169776,0.2929377739313706,-0.3381792577213593,-0.5955840422600063
Mol_11287_C_-1,Mol_11147_C_1,14.370150112603458,10.0,3.0,5.995206499996129,4.433427750016563,0.5831592500035185,-0.9786194999760482,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4493152376914538,0.4493152376914538,atomic_atomic,0,0.4493152376914538,0.4493152376914538,0,0.28405259363776564,0.28405259363776564,5.545891262304676,4.882742987708016,0.2991066563657529,-0.3640416182309068,-0.6145778817451419
Mol_1110_C_-1,Mol_1152_C_1,11.249988332128504,10.0,3.0,6.0603956499980995,4.629802499999641,0.25380915000278037,-1.1767839999956777,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4444114288424404,0.4444114288424404,atomic_atomic,0,0.4444114288424404,0.4444114288424404,0,0.19872373065904234,0.19872373065904234,5.615984221155659,5.074213928842082,0.055085419343738035,-0.4866848729698394,-0.6900991270258384
Mol_11424_C_-1,Mol_11576_C_1,20.22327843273064,10.0,3.0,5.9597355499863625,4.426632950009662,0.8693578999955207,-0.66374469998118,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.46651132583815236,0.46651132583815236,atomic_atomic,0,0.46651132583815236,0.46651132583815236,0,0.4585741022060282,0.4585741022060282,5.49322422414821,4.893144275847814,0.41078379778949253,-0.18929615051090304,-0.47444854947027654
Mol_1229_C_-1,Mol_1173_C_1,7.218788934537921,10.0,3.0,6.055829800010542,4.251970500001335,0.2698841999954311,-1.5339751000137767,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44322610604730905,0.44322610604730905,atomic_atomic,0,0.44322610604730905,0.44322610604730905,0,0.09992447126203621,0.09992447126203621,5.6126036939632336,4.695196606048643,0.1699597287333949,-0.7474473591811952,-0.7865277408325819
Mol_12429_C_-1,Mol_12451_C_1,5.826330532122775,10.0,3.0,6.269516899992595,4.46737040001608,0.27419574998202734,-1.5279507499944884,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4453779791556184,0.4453779791556184,atomic_atomic,0,0.4453779791556184,0.4453779791556184,0,0.07052285962658804,0.07052285962658804,5.824138920836977,4.912748379171698,0.20367289035543928,-0.7077176513098395,-0.8202330986846488
Mol_13891_C_-1,Mol_13945_C_1,10.383312434470122,10.0,3.0,5.96111249999376,4.431165950009017,0.393004049998126,-1.136942499986617,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44342880376476895,0.44342880376476895,atomic_atomic,0,0.44342880376476895,0.44342880376476895,0,0.17616907573803628,0.17616907573803628,5.517683696228991,4.874594753773787,0.2168349742600897,-0.4262539681951145,-0.7106885317915016
Mol_1529_C_-1,Mol_1402_C_1,9.376229620677952,10.0,3.0,6.133409800007939,4.316842300002463,0.5494081000215374,-1.2671593999839388,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44283096544271106,0.44283096544271106,atomic_atomic,0,0.44283096544271106,0.44283096544271106,0,0.15072234805697396,0.15072234805697396,5.690578834565228,4.7596732654451746,0.39868575196456346,-0.5322198171554899,-0.7349395828284482
Mol_1479_C_-1,Mol_1452_C_1,20.863109561742473,10.0,3.0,6.099681600011536,4.374159999992116,0.9800551500084111,-0.7454664500110084,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.46854496277951874,0.46854496277951874,atomic_atomic,0,0.46854496277951874,0.46854496277951874,0,0.4762998893682198,0.4762998893682198,5.631136637232017,4.842704962771635,0.5037552606401914,-0.2846764138201905,-0.46079003619081765
