Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_10942_C_-1,Mol_10988_C_1,17.33134185763145,10.0,3.0,6.276884449987847,4.812669050006662,0.5438340999899083,-0.920381299991277,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.4575615949007357,0.4575615949007357,atomic_atomic,0,0.4575615949007357,0.4575615949007357,0,0.3709801184384129,0.3709801184384129,5.819322855087111,5.2702306449073975,0.1728539815514954,-0.37623822862821815,-0.5441430713630586
Mol_11044_C_-1,Mol_11148_C_1,7.423948896360485,10.0,3.0,6.454541499995685,4.779784600010316,0.13366999999561813,-1.5410868999897502,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.44306214847140357,0.44306214847140357,atomic_atomic,0,0.44306214847140357,0.44306214847140357,0,0.1044935252617359,0.1044935252617359,6.011479351524281,5.22284674848172,0.029176474733882227,-0.7594561283086793,-0.7816307716810712
Mol_11223_C_-1,Mol_11183_C_1,15.6355758926718,10.0,3.0,6.268625150005391,5.117320000004838,0.18508239999209763,-0.9662227500084555,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.4528361847121375,0.4528361847121375,atomic_atomic,0,0.4528361847121375,0.4528361847121375,0,0.3210917170449692,0.3210917170449692,5.815788965293254,5.570156184716976,-0.13600931705287156,-0.38164209762914947,-0.5845806523793058
Mol_1385_C_-1,Mol_11222_C_1,21.354989848359036,10.0,3.0,6.412165900008404,5.052938799992262,0.6767200000031153,-0.6825071000130265,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.4697570954690225,0.4697570954690225,atomic_atomic,0,0.4697570954690225,0.4697570954690225,0,0.48976658990782385,0.48976658990782385,5.942408804539381,5.522695895461284,0.18695341009529143,-0.23275949898280546,-0.44974760103022116
Mol_11168_C_-1,Mol_11224_C_1,8.897075691462978,10.0,3.0,6.531492750000325,5.060713950006175,0.1224987999885343,-1.3482800000056159,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.44269496441307,0.44269496441307,atomic_atomic,0,0.44269496441307,0.44269496441307,0,0.13894277234030616,0.13894277234030616,6.088797785587255,5.503408914419245,-0.016443972351771863,-0.6018328435197825,-0.7464471564858338
Mol_11184_C_-1,Mol_11231_C_1,11.393129798792952,10.0,3.0,6.5590097999956924,4.84283085000061,0.6096216499936418,-1.106557300001441,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.44453381721770535,0.44453381721770535,atomic_atomic,0,0.44453381721770535,0.44453381721770535,0,0.20251746419472452,0.20251746419472452,6.1144759827779875,5.2873646672183146,0.4071041857989173,-0.4200071297607557,-0.6865501702406862
Mol_11334_C_-1,Mol_11341_C_1,6.683781462875832,10.0,3.0,6.494558350001171,5.086242250006762,-0.05431135000253562,-1.462627449996944,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.4438171369223252,0.4438171369223252,atomic_atomic,0,0.4438171369223252,0.4438171369223252,0,0.08825112813583551,0.08825112813583551,6.050741213078846,5.5300593869290875,-0.14256247813837114,-0.6632443042881293,-0.799383145708815
Mol_11168_C_-1,Mol_11459_C_1,24.570690204230882,10.0,3.0,6.4201882500055945,5.063538700000208,0.7870293499945547,-0.5696202000108315,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.4745200811318703,0.4745200811318703,atomic_atomic,0,0.4745200811318703,0.4745200811318703,0,0.5583611698852734,0.5583611698852734,5.945668168873724,5.5380587811320785,0.22866818010928125,-0.17894120763236454,-0.39067899237846715
Mol_4598_C_-1,Mol_14130_C_1,10.991543294002055,10.0,3.0,6.547664549994806,4.880172400000447,0.13465145000373013,-1.5328406999906292,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.44413727746752923,0.44413727746752923,atomic_atomic,0,0.44413727746752923,0.44413727746752923,0,0.1919473527719792,0.1919473527719792,6.103527272527277,5.324309677467976,-0.05729590276824906,-0.8365134978275496,-0.6963272021630793
Mol_1449_C_-1,Mol_1414_C_1,20.665096052663625,10.0,3.0,6.309681100006856,4.976107950002188,0.6479291500145337,-0.685643999990134,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,0,0.46794386852192804,0.46794386852192804,atomic_atomic,0,0.46794386852192804,0.46794386852192804,0,0.4713257654645484,0.4713257654645484,5.841737231484927,5.444051818524116,0.17660338454998525,-0.22108202841082614,-0.4645619715793077
