Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_11042_C_-1,Mol_11101_C_1,10.087298582886682,10.0,3.0,5.607752399984747,4.11120364999806,0.23922389998915605,-1.2573248499975307,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.44317006082099586,0.44317006082099586,atomic_atomic,0,0.44317006082099586,0.44317006082099586,0,0.1662048765430095,0.1662048765430095,5.1645823391637515,4.554373710819056,0.07301902344614655,-0.537189604898549,-0.7201352450989822
Mol_11470_C_-1,Mol_11142_C_1,13.467139502923228,10.0,3.0,5.635689800008549,3.996177399996668,0.6984959500114201,-0.9410164500004612,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.44786463373783936,0.44786463373783936,atomic_atomic,0,0.44786463373783936,0.44786463373783936,0,0.25841268490460806,0.25841268490460806,5.18782516627071,4.444042033734507,0.440083265106812,-0.303699867429391,-0.6373165825710707
Mol_11405_C_-1,Mol_11174_C_1,19.648565283573223,10.0,3.0,5.372810100001516,3.967553399997996,0.6029725999978837,-0.802284100005636,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4648083767452771,0.4648083767452771,atomic_atomic,0,0.4648083767452771,0.4648083767452771,0,0.4420376782047435,0.4420376782047435,4.9080017232562385,4.4323617767432735,0.16093492179314017,-0.31470502471982487,-0.4875790752858107
Mol_11405_C_-1,Mol_11313_C_1,8.458714967324125,10.0,3.0,5.990074100001948,3.922087400002056,0.5767393999994965,-1.4912473000003956,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.44272058994752594,0.44272058994752594,atomic_atomic,0,0.44272058994752594,0.44272058994752594,0,0.1273383671255021,0.1273383671255021,5.547353510054422,4.364807989949582,0.44940103287399447,-0.7331444872308458,-0.7581028127695498
Mol_11680_C_-1,Mol_11338_C_1,16.494901651346773,10.0,3.0,5.823838749987772,3.950504850014113,1.05298269999912,-0.8203511999745388,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.45504789307948845,0.45504789307948845,atomic_atomic,0,0.45504789307948845,0.45504789307948845,0,0.346373376799426,0.346373376799426,5.368790856908284,4.405552743093601,0.7066093231996942,-0.25662879061498844,-0.563722409359551
Mol_11574_C_-1,Mol_11584_C_1,4.419913118703686,10.0,3.0,5.934529749982175,4.108186000012211,0.12346314999740571,-1.7028805999725591,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4489779978000794,0.4489779978000794,atomic_atomic,0,0.4489779978000794,0.4489779978000794,0,0.044926299799782875,0.044926299799782875,5.485551752182096,4.55716399781229,0.07853685019762283,-0.8498509041721837,-0.8530296958003759
Mol_1295_C_-1,Mol_1180_C_1,3.7452949049222335,10.0,3.0,5.8314191499957815,3.893048000012641,0.1221971500053769,-1.8161739999777637,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.45169707997063285,0.45169707997063285,atomic_atomic,0,0.45169707997063285,0.45169707997063285,0,0.03322506850731891,0.03322506850731891,5.3797220700251485,4.344745079983274,0.08897208149805799,-0.9460049085438166,-0.8701690914339468
Mol_1354_C_-1,Mol_1318_C_1,20.515235241355825,10.0,3.0,5.6677621499984525,4.181717849991401,0.8011785499984398,-0.6848657500086119,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4676491555152731,0.4676491555152731,atomic_atomic,0,0.4676491555152731,0.4676491555152731,0,0.4673790674069024,0.4673790674069024,5.200112994483179,4.649367005506674,0.33379948259153747,-0.2169465063849677,-0.4679192436236438
Mol_11370_C_-1,Mol_1392_C_1,22.3768321106174,10.0,3.0,5.574873399993521,4.088891649997095,0.8381767499959096,-0.6478050000005169,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.47166943395937266,0.47166943395937266,atomic_atomic,0,0.47166943395937266,0.47166943395937266,0,0.5142751278842427,0.5142751278842427,5.103203966034148,4.560561083956467,0.32390162211166695,-0.218741259966014,-0.42906374003450265
Mol_1878_C_-1,Mol_1398_C_1,23.403751641417934,10.0,3.0,5.642585900015547,4.094565599996713,0.9136388000042643,-0.6343815000145696,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4731423686910559,0.4731423686910559,atomic_atomic,0,0.4731423686910559,0.4731423686910559,0,0.53551120802606,0.53551120802606,5.169443531324491,4.567707968687769,0.37812759197820434,-0.22360797065851834,-0.4107735293560518
Mol_14640_C_-1,Mol_14629_C_1,15.834770822958061,10.0,3.0,5.698218900011852,4.02147184999194,0.7184476000111317,-0.9582994500087807,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4533078522249191,0.4533078522249191,atomic_atomic,0,0.4533078522249191,0.4533078522249191,0,0.32653591190815734,0.32653591190815734,5.244911047786934,4.474779702216859,0.3919116881029744,-0.3782196574671005,-0.5800797925416808
Mol_14702_C_-1,Mol_14657_C_1,5.469475803410506,10.0,3.0,5.743796650000149,3.970410149995587,0.02759269998932723,-1.7457938000152353,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.44570336814448847,0.44570336814448847,atomic_atomic,0,0.44570336814448847,0.44570336814448847,0,0.06493838449080781,0.06493838449080781,5.298093281855661,4.416113518140075,-0.03734568450148058,-0.9193254482170667,-0.8264683517981691
Mol_1581_C_-1,Mol_1482_C_1,8.859769095210202,10.0,3.0,5.744493399994099,4.044506999998703,0.4644339499936905,-1.2355524500017054,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.44268064804882645,0.44268064804882645,atomic_atomic,0,0.44268064804882645,0.44268064804882645,0,0.13763433138598977,0.13763433138598977,5.301812751945272,4.487187648047529,0.3267996186077007,-0.48782548529004255,-0.7477269647116631
Mol_1556_C_-1,Mol_1534_C_1,3.9711445944980635,10.0,3.0,5.66942525000195,3.9352044499974,-0.08916729998600204,-1.8233880999905523,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4504096757246303,0.4504096757246303,atomic_atomic,0,0.4504096757246303,0.4504096757246303,0,0.037558262684196236,0.037558262684196236,5.21901557427732,4.3856141257220305,-0.12672556267019827,-0.9601270112254875,-0.8632610887650644
Mol_4708_C_-1,Mol_1577_C_1,21.490948255011904,10.0,3.0,5.647455650003394,4.114115649994346,0.8435328500054311,-0.6898071500036167,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.46993451652825,0.46993451652825,atomic_atomic,0,0.46993451652825,0.46993451652825,0,0.49187537182145247,0.49187537182145247,5.177521133475144,4.584050166522596,0.35165747818397863,-0.24181348876856956,-0.4479936612350476
Mol_1652_C_-1,Mol_1582_C_1,15.165732786685899,10.0,3.0,5.54578090000723,4.028870599999209,0.5494831999967573,-0.967427100011264,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.4516422642243849,0.4516422642243849,atomic_atomic,0,0.4516422642243849,0.4516422642243849,0,0.3073734273387775,0.3073734273387775,5.094138635782845,4.480512864223594,0.24210977265797984,-0.3715159989012712,-0.5959111011099923
Mol_1467_C_-1,Mol_1615_C_1,9.22016743800205,10.0,3.0,5.742051249995711,4.126842350000516,0.43565359999774955,-1.1795552999974461,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,0,0.44277325963873637,0.44277325963873637,atomic_atomic,0,0.44277325963873637,0.44277325963873637,0,0.14597561737193063,0.14597561737193063,5.299277990356975,4.569615609639252,0.2896779826258189,-0.4399843980919045,-0.7395709019055421
