Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_11262_C_-1,Mol_11263_C_1,7.793321120252081,10.0,3.0,5.443011950002983,4.235994700007723,-0.19449039999744855,-1.401507649992709,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.44292350830392724,0.44292350830392724,atomic_atomic,0,0.44292350830392724,0.44292350830392724,0,0.1115410332285709,0.1115410332285709,5.000088441699056,4.67891820831165,-0.30603143322601944,-0.6272016666134252,-0.7743059833792836
Mol_1015_C_-1,Mol_1132_C_1,12.586334330280149,10.0,3.0,5.164349649989163,4.252994200025569,-0.1788360000064131,-1.090191449970007,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.4464026003637534,0.4464026003637534,atomic_atomic,0,0.4464026003637534,0.4464026003637534,0,0.23587446601830755,0.23587446601830755,4.717947049625409,4.699396800389322,-0.4147104660247206,-0.4332607152608078,-0.6569307347091993
Mol_1015_C_-1,Mol_1139_C_1,17.355269090343945,10.0,3.0,5.030659900003229,4.263925699997344,-0.03556229999230709,-0.8022964999981923,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.45755825411532713,0.45755825411532713,atomic_atomic,0,0.45755825411532713,0.45755825411532713,0,0.37174359832042586,0.37174359832042586,4.573101645887903,4.721483954112671,-0.40730589831273295,-0.2589235900879648,-0.5433729099102285
Mol_1613_C_-1,Mol_11535_C_1,5.667021312278577,10.0,3.0,5.292234750013449,4.104709849983919,-0.42710629999055527,-1.614631200020085,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.44549727426381863,0.44549727426381863,atomic_atomic,0,0.44549727426381863,0.44549727426381863,0,0.06926889331188905,0.06926889331188905,4.846737475749631,4.550207124247738,-0.49637519330244434,-0.7929055448043374,-0.8217256552157483
Mol_1261_C_-1,Mol_1183_C_1,15.632084467066697,10.0,3.0,5.159559149993584,4.04618040000787,0.2175557500013383,-0.8958229999843752,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.4527942516535802,0.4527942516535802,atomic_atomic,0,0.4527942516535802,0.4527942516535802,0,0.3201393980507376,0.3201393980507376,4.706764898340003,4.498974651661451,-0.10258364804939929,-0.3103738947279517,-0.5854491052564228
Mol_12175_C_-1,Mol_12027_C_1,11.91445721841025,10.0,3.0,5.137578699999722,4.298470599998836,-0.2649685999931535,-1.1040766999940388,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.44531741790244916,0.44531741790244916,atomic_atomic,0,0.44531741790244916,0.44531741790244916,0,0.2181362273229203,0.2181362273229203,4.692261282097273,4.743788017901285,-0.48310482731607374,-0.4315780915120614,-0.6724986084819781
Mol_1278_C_-1,Mol_1292_C_1,7.985757299033788,10.0,3.0,5.437533899981645,4.093259350003791,0.12200849999499042,-1.2222660499828635,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.44285129517620714,0.44285129517620714,atomic_atomic,0,0.44285129517620714,0.44285129517620714,0,0.1171013988043403,0.1171013988043403,4.994682604805438,4.536110645179998,0.004907101190650118,-0.4536648584347895,-0.7686011915480739
Mol_21455_C_-1,Mol_1367_C_1,23.739635794651534,10.0,3.0,5.320949250017293,4.089808649994666,0.6223118000052636,-0.6088288000173634,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.47357718751006517,0.47357718751006517,atomic_atomic,0,0.47357718751006517,0.47357718751006517,0,0.5421819256368738,0.5421819256368738,4.847372062507228,4.563385837504731,0.08012987436838981,-0.20385635063410734,-0.4049724493832565
Mol_1223_C_-1,Mol_1397_C_1,19.253716899565397,10.0,3.0,5.286703000005218,4.097557999994024,0.4191415999957826,-0.7700034000154119,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.46347604794278907,0.46347604794278907,atomic_atomic,0,0.46347604794278907,0.46347604794278907,0,0.429564157692612,0.429564157692612,4.823226952062429,4.561034047936813,-0.010422557696829426,-0.27261546182244534,-0.4973879381929661
Mol_1439_C_-1,Mol_1424_C_1,8.042303499841271,10.0,3.0,5.256242500021472,3.951876649996848,-0.1826695500058122,-1.487035400030436,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,0,0.4427597382057078,0.4427597382057078,atomic_atomic,0,0.4427597382057078,0.4427597382057078,0,0.12186289841341738,0.12186289841341738,4.813482761815764,4.394636388202556,-0.30453244841922955,-0.7233788220324378,-0.7636565779979982
