simulation,sigma [S/cm],sigma_std [S/cm]
2.4,9.565307057113743e-17,2.960237302529398e-16
2.5,3.1693566085992064e-15,4.274507138387057e-15
2.6,9.692468985569854e-14,8.367920478035091e-14
2.7,6.3006999378966985e-12,6.00042868944059e-12
2.8,2.7699937885592226e-10,3.254076347129735e-10
2.9,1.7328224061620002e-08,4.277913682319325e-08
3.0,1.055346605699548e-06,1.5357586518132143e-06
3.1,4.1741913547942635e-05,2.119773513174086e-05
3.2,0.0012020354586216417,0.00022931302595251082
3.3,0.011434776818828336,0.0006836951242539186
3.4,0.03279380325429844,0.0015436203811667415
3.5,0.049097625146473534,0.0021819440236242648
3.6,0.05800810121180422,0.0019531144544854115
3.7,0.061537213871566285,0.0021022748676819557
3.8,0.06175014371217279,0.003319579318061155
3.9,0.06231562934344286,0.0016644278316913033
4.0,0.060973361277088196,0.0018502713004581012
4.2,0.061076231858426804,0.00226044454042161
4.4,0.0608579405898207,0.002202689333655971
4.5,0.059851971803087885,0.0033067874768690254
