material,homo_disorder,lumo_disorder
BPAPF@CN6-CP_0.26,0.3755633426096509,0.4305636283248584
TPD@F4TCNQ_0.07,0.16287767503723533,0.1663056969934474
NPB@TCNQ_0.07,0.11517494927859112,0.08892183461201716
MeO-TPD@F4TCNQ_0.07,0.3035771177435842,0.35556256405217407
BFDPB@CN6-CP_0.26,0.4661806484072316,0.5087971838211743
TCTA@CN6-CP_0.26,0.40936594113552643,0.4565256607939522
NPB@CN6-CP_0.26,0.45417550661575934,0.4961844798026019
TCTA@F6TCNNQ_0.11,0.125958051847437,0.14038820375997826
CBP@CN6-CP_0.2,0.29926644657296125,0.3150410677169563
m-MTDATA@F4TCNQ_0.07,0.28597614751429296,0.30394639292807407
