material,fraction,ionization,IP,EA
1.4,1.4,0.0022451682116185583,6.428096624878346,5.028096624878347
1.1,1.1,0.05933477909660598,6.128096624878347,5.028096624878347
0.6,0.6,0.6292455103563095,5.628096624878347,5.028096624878347
_0.2,0.2,0.8975976447107411,4.828096624878347,5.028096624878347
0.3,0.3,0.8191215534488294,5.328096624878347,5.028096624878347
_0.5,0.5,0.9074403661684781,4.528096624878347,5.028096624878347
1.5,1.5,0.0005145953949229623,6.528096624878346,5.028096624878347
_0.1,0.1,0.891071262537938,4.928096624878346,5.028096624878347
0.2,0.2,0.8477367353009113,5.228096624878347,5.028096624878347
0.4,0.4,0.7771769012628921,5.428096624878346,5.028096624878347
0.7,0.7,0.5158780805470897,5.728096624878347,5.028096624878347
1.0,1.0,0.13010901859778443,6.028096624878346,5.028096624878347
0.9,0.9,0.2383410204859754,5.928096624878346,5.028096624878347
_0.3,0.3,0.9027087445090645,4.728096624878347,5.028096624878347
1.2,1.2,0.021199088702932765,6.228096624878347,5.028096624878347
_0.4,0.4,0.905482464560504,4.628096624878347,5.028096624878347
0.5,0.5,0.7168556088389036,5.528096624878347,5.028096624878347
0.8,0.8,0.3767064119240679,5.828096624878347,5.028096624878347
_0.0,0.0,0.8816135265558764,5.028096624878347,5.028096624878347
1.3,1.3,0.007445987656077893,6.328096624878347,5.028096624878347
0.1,0.1,0.8686947356841088,5.128096624878347,5.028096624878347
