material,fraction,ionization,IP,EA
1.4,1.4,2.008706809685573e-06,7.023507813633313,5.623507813633314
1.1,1.1,0.00914333921651459,6.723507813633313,5.623507813633314
0.6,0.6,0.4599604697524382,6.223507813633313,5.623507813633314
_0.2,0.2,0.6746482310148652,5.4235078136333135,5.623507813633314
0.3,0.3,0.5856428703970549,5.9235078136333135,5.623507813633314
_0.5,0.5,0.6982154787030507,5.123507813633314,5.623507813633314
1.5,1.5,1.2252139698643656e-08,7.123507813633314,5.623507813633314
_0.1,0.1,0.6641292013774662,5.523507813633314,5.623507813633314
0.2,0.2,0.6116266236281105,5.823507813633314,5.623507813633314
0.4,0.4,0.5536226262153607,6.023507813633313,5.623507813633314
0.7,0.7,0.39141383911282357,6.323507813633313,5.623507813633314
1.0,1.0,0.07647074303513282,6.623507813633314,5.623507813633314
0.9,0.9,0.19677361016000083,6.523507813633313,5.623507813633314
_0.3,0.3,0.6852526685126091,5.323507813633314,5.623507813633314
1.2,1.2,0.0014843435389143645,6.823507813633313,5.623507813633314
_0.4,0.4,0.6919554819459584,5.223507813633313,5.623507813633314
0.5,0.5,0.5118521868703083,6.123507813633314,5.623507813633314
0.8,0.8,0.3049376639542493,6.4235078136333135,5.623507813633314
_0.0,0.0,0.651241242312869,5.623507813633314,5.623507813633314
1.3,1.3,0.0002788862768357922,6.9235078136333135,5.623507813633314
0.1,0.1,0.6284933714636907,5.723507813633313,5.623507813633314
