material,fraction,ionization,IP,EA
1.4,1.4,0.00027162007430672714,6.265868645063658,4.865868645063658
1.1,1.1,0.02355022491826253,5.965868645063658,4.865868645063658
0.6,0.6,0.6063559374454758,5.465868645063658,4.865868645063658
_0.2,0.2,0.9045072913055671,4.665868645063658,4.865868645063658
0.3,0.3,0.8290142254072013,5.165868645063658,4.865868645063658
_0.5,0.5,0.9115666249600128,4.365868645063658,4.865868645063658
1.5,1.5,6.186589934375468e-06,6.365868645063658,4.865868645063658
_0.1,0.1,0.8991241234944932,4.765868645063659,4.865868645063658
0.2,0.2,0.8585213695891732,5.0658686450636585,4.865868645063658
0.4,0.4,0.7812666703812202,5.265868645063658,4.865868645063658
0.7,0.7,0.4642029514016175,5.565868645063658,4.865868645063658
1.0,1.0,0.06262851757325032,5.865868645063658,4.865868645063658
0.9,0.9,0.15366621586861992,5.765868645063658,4.865868645063658
_0.3,0.3,0.907982143661109,4.5658686450636585,4.865868645063658
1.2,1.2,0.008342137422653821,6.065868645063658,4.865868645063658
_0.4,0.4,0.9100067315672116,4.465868645063658,4.865868645063658
0.5,0.5,0.7109393972451982,5.365868645063658,4.865868645063658
0.8,0.8,0.29637598102893775,5.665868645063658,4.865868645063658
_0.0,0.0,0.8909612275741722,4.865868645063658,4.865868645063658
1.3,1.3,0.0019241701981130479,6.165868645063658,4.865868645063658
0.1,0.1,0.8776718538466567,4.965868645063658,4.865868645063658
