material,fraction,ionization,IP,EA
1.4,1.4,1.7589296973144075e-05,6.286468458481248,4.886468458481248
1.1,1.1,0.006771237027314141,5.986468458481248,4.886468458481248
0.6,0.6,0.5808940617751258,5.486468458481248,4.886468458481248
_0.2,0.2,0.905584447520327,4.686468458481248,4.886468458481248
0.3,0.3,0.8261568315463613,5.186468458481248,4.886468458481248
_0.5,0.5,0.9139019027530352,4.386468458481248,4.886468458481248
1.5,1.5,4.609332045095465e-08,6.386468458481248,4.886468458481248
_0.1,0.1,0.9057898587363653,4.786468458481249,4.886468458481248
0.2,0.2,0.857102068828824,5.0864684584812485,4.886468458481248
0.4,0.4,0.7773459137322329,5.286468458481248,4.886468458481248
0.7,0.7,0.40802153807056524,5.586468458481248,4.886468458481248
1.0,1.0,0.022433016132859834,5.886468458481248,4.886468458481248
0.9,0.9,0.07844582172500197,5.786468458481248,4.886468458481248
_0.3,0.3,0.9093761509182506,4.5864684584812485,4.886468458481248
1.2,1.2,0.0018373606150793927,6.086468458481248,4.886468458481248
_0.4,0.4,0.9113676272765137,4.486468458481248,4.886468458481248
0.5,0.5,0.7011379528192465,5.386468458481248,4.886468458481248
0.8,0.8,0.21673317411751866,5.686468458481248,4.886468458481248
_0.0,0.0,0.8905625287413109,4.886468458481248,4.886468458481248
1.3,1.3,0.0005117281265128924,6.186468458481248,4.886468458481248
0.1,0.1,0.8827007681570824,4.986468458481248,4.886468458481248
