material,fraction,ionization,IP,EA
1.4,1.4,2.978594665824563e-06,6.999727512157461,5.599727512157462
1.1,1.1,0.013247991793849568,6.6997275121574615,5.599727512157462
0.6,0.6,0.4565610618473204,6.1997275121574615,5.599727512157462
_0.2,0.2,0.6788034932420147,5.399727512157462,5.599727512157462
0.3,0.3,0.5905861985720082,5.899727512157462,5.599727512157462
_0.5,0.5,0.7004750972408926,5.099727512157462,5.599727512157462
1.5,1.5,9.942288817481865e-09,7.099727512157461,5.599727512157462
_0.1,0.1,0.666969691741735,5.499727512157461,5.599727512157462
0.2,0.2,0.6182208935619483,5.799727512157462,5.599727512157462
0.4,0.4,0.558033439944781,5.999727512157461,5.599727512157462
0.7,0.7,0.38138474842483333,6.299727512157462,5.599727512157462
1.0,1.0,0.051115037375500744,6.599727512157461,5.599727512157462
0.9,0.9,0.15653501576210802,6.499727512157461,5.599727512157462
_0.3,0.3,0.6876569973368587,5.299727512157462,5.599727512157462
1.2,1.2,0.003568329795016254,6.799727512157462,5.599727512157462
_0.4,0.4,0.6953635711174936,5.1997275121574615,5.599727512157462
0.5,0.5,0.5133152997110305,6.099727512157462,5.599727512157462
0.8,0.8,0.2813305877344755,6.399727512157462,5.599727512157462
_0.0,0.0,0.6532845718605682,5.599727512157462,5.599727512157462
1.3,1.3,0.00037733386813209734,6.899727512157462,5.599727512157462
0.1,0.1,0.63671276328892,5.6997275121574615,5.599727512157462
